"Name","DisplayName","Status"
"AdobeARMservice","Adobe Acrobat Update Service","Running"
"ApHidMonitorService","Alps HID Monitor Service","Running"
"Appinfo","Application Information","Running"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running"
"Audiosrv","Windows Audio","Running"
"BFE","Base Filtering Engine","Running"
"BITS","Background Intelligent Transfer Service","Running"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running"
"camsvc","Capability Access Manager Service","Running"
"cbdhsvc_89c91","Clipboard User Service_89c91","Running"
"CDPSvc","Connected Devices Platform Service","Running"
"CDPUserSvc_89c91","Connected Devices Platform User Service_89c91","Running"
"CoreMessagingRegistrar","CoreMessaging","Running"
"cphs","Intel(R) Content Protection HECI Service","Running"
"cplspcon","Intel(R) Content Protection HDCP Service","Running"
"CryptSvc","Cryptographic Services","Running"
"DcomLaunch","DCOM Server Process Launcher","Running"
"DellFFDPWmiService","Dell Free Fall Data Protection WMI Service","Running"
"DeviceAssociationService","Device Association Service","Running"
"DevicesFlowUserSvc_89c91","DevicesFlow_89c91","Running"
"DevQueryBroker","DevQuery Background Discovery Broker","Running"
"Dhcp","DHCP Client","Running"
"DiagTrack","Connected User Experiences and Telemetry","Running"
"DispBrokerDesktopSvc","Display Policy Service","Running"
"DisplayEnhancementService","Display Enhancement Service","Running"
"Dnscache","DNS Client","Running"
"DoSvc","Delivery Optimization","Running"
"DPS","Diagnostic Policy Service","Running"
"DusmSvc","Data Usage","Running"
"esifsvc","Intel(R) Dynamic Tuning service","Running"
"EventLog","Windows Event Log","Running"
"EventSystem","COM+ Event System","Running"
"FontCache","Windows Font Cache Service","Running"
"gpsvc","Group Policy Client","Running"
"hidserv","Human Interface Device Service","Running"
"hostcontrolsvc","Credential Vault Host Control Service","Running"
"hoststoragesvc","Credential Vault Host Storage","Running"
"igccservice","Intel(R) Graphics Command Center Service","Running"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Running"
"InstallService","Microsoft Store Install Service","Running"
"IntelAudioService","Intel(R) Audio Service","Running"
"InventorySvc","Inventory and Compatibility Appraisal service","Running"
"iphlpsvc","IP Helper","Running"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running"
"KeyIso","CNG Key Isolation","Running"
"LanmanServer","Server","Running"
"LanmanWorkstation","Workstation","Running"
"lfsvc","Geolocation Service","Running"
"LicenseManager","Windows License Manager Service","Running"
"lmhosts","TCP/IP NetBIOS Helper","Running"
"LMS","Intel(R) Management and Security Application Local Management Service","Running"
"LSM","Local Session Manager","Running"
"MDCoreSvc","MDCoreSvc","Running"
"mpssvc","Windows Defender Firewall","Running"
"MSSQLSERVER","SQL Server (MSSQLSERVER)","Running"
"NcbService","Network Connection Broker","Running"
"netprofm","Network List Service","Running"
"NgcCtnrSvc","Microsoft Passport Container","Running"
"NgcSvc","Microsoft Passport","Running"
"NPSMSvc_89c91","Now Playing Session Manager Service_89c91","Running"
"nsi","Network Store Interface Service","Running"
"OneSyncSvc_89c91","Sync Host_89c91","Running"
"PcaSvc","Program Compatibility Assistant Service","Running"
"PimIndexMaintenanceSvc_89c91","Contact Data_89c91","Running"
"PlugPlay","Plug and Play","Running"
"Power","Power","Running"
"ProfSvc","User Profile Service","Running"
"RasMan","Remote Access Connection Manager","Running"
"RmSvc","Radio Management Service","Running"
"RpcEptMapper","RPC Endpoint Mapper","Running"
"RpcSs","Remote Procedure Call (RPC)","Running"
"RstMwService","Intel(R) Storage Middleware Service","Running"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running"
"SamSs","Security Accounts Manager","Running"
"Schedule","Task Scheduler","Running"
